"raceid","year","grand_prix","driverid","driver","laptimes"
848,2011,"European Grand Prix",20,"Sebastian Vettel","00:01:41.852"
849,2011,"British Grand Prix",4,"Fernando Alonso","00:01:33.391"
850,2011,"German Grand Prix",1,"Lewis Hamilton","00:01:34.302"
851,2011,"Hungarian Grand Prix",13,"Felipe Massa","00:01:23.415"
852,2011,"Belgian Grand Prix",17,"Mark Webber","00:01:49.883"
853,2011,"Italian Grand Prix",1,"Lewis Hamilton","00:01:26.187"
854,2011,"Singapore Grand Prix",18,"Jenson Button","00:01:48.454"
855,2011,"Japanese Grand Prix",18,"Jenson Button","00:01:36.568"
856,2011,"Korean Grand Prix",20,"Sebastian Vettel","00:01:39.605"
857,2011,"Indian Grand Prix",20,"Sebastian Vettel","00:01:27.249"
858,2011,"Abu Dhabi Grand Prix",17,"Mark Webber","00:01:42.612"
859,2011,"Brazilian Grand Prix",17,"Mark Webber","00:01:15.324"
860,2012,"Australian Grand Prix",18,"Jenson Button","00:01:29.187"
861,2012,"Malaysian Grand Prix",8,"Kimi Räikkönen","00:01:40.722"
862,2012,"Chinese Grand Prix",155,"Kamui Kobayashi","00:01:39.96"
863,2012,"Bahrain Grand Prix",20,"Sebastian Vettel","00:01:36.379"
864,2012,"Spanish Grand Prix",154,"Romain Grosjean","00:01:26.25"
865,2012,"Monaco Grand Prix",815,"Sergio Pérez","00:01:17.296"
866,2012,"Canadian Grand Prix",20,"Sebastian Vettel","00:01:15.752"
867,2012,"European Grand Prix",3,"Nico Rosberg","00:01:42.163"
868,2012,"British Grand Prix",155,"Kamui Kobayashi","00:01:34.608"
869,2012,"German Grand Prix",30,"Michael Schumacher","00:01:18.725"
870,2012,"Hungarian Grand Prix",20,"Sebastian Vettel","00:01:24.136"
871,2012,"Belgian Grand Prix",811,"Bruno Senna","00:01:52.822"
872,2012,"Italian Grand Prix",3,"Nico Rosberg","00:01:27.239"
873,2012,"Singapore Grand Prix",807,"Nico Hülkenberg","00:01:51.033"
874,2012,"Japanese Grand Prix",20,"Sebastian Vettel","00:01:35.774"
875,2012,"Korean Grand Prix",17,"Mark Webber","00:01:42.037"
876,2012,"Indian Grand Prix",18,"Jenson Button","00:01:28.203"
877,2012,"Abu Dhabi Grand Prix",20,"Sebastian Vettel","00:01:43.964"
878,2012,"United States Grand Prix",20,"Sebastian Vettel","00:01:39.347"
879,2012,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:18.069"
880,2013,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:29.274"
881,2013,"Malaysian Grand Prix",815,"Sergio Pérez","00:01:39.199"
882,2013,"Chinese Grand Prix",20,"Sebastian Vettel","00:01:36.808"
883,2013,"Bahrain Grand Prix",20,"Sebastian Vettel","00:01:36.961"
884,2013,"Spanish Grand Prix",821,"Esteban Gutiérrez","00:01:26.217"
885,2013,"Monaco Grand Prix",20,"Sebastian Vettel","00:01:16.577"
886,2013,"Canadian Grand Prix",17,"Mark Webber","00:01:16.182"
887,2013,"British Grand Prix",17,"Mark Webber","00:01:33.401"
888,2013,"German Grand Prix",4,"Fernando Alonso","00:01:33.468"
890,2013,"Hungarian Grand Prix",17,"Mark Webber","00:01:24.069"
891,2013,"Belgian Grand Prix",20,"Sebastian Vettel","00:01:50.756"
892,2013,"Italian Grand Prix",1,"Lewis Hamilton","00:01:25.849"
893,2013,"Singapore Grand Prix",20,"Sebastian Vettel","00:01:48.574"
894,2013,"Korean Grand Prix",20,"Sebastian Vettel","00:01:41.38"
895,2013,"Japanese Grand Prix",17,"Mark Webber","00:01:34.587"
896,2013,"Indian Grand Prix",8,"Kimi Räikkönen","00:01:27.679"
897,2013,"Abu Dhabi Grand Prix",4,"Fernando Alonso","00:01:43.434"
898,2013,"United States Grand Prix",20,"Sebastian Vettel","00:01:39.856"
899,2013,"Brazilian Grand Prix",17,"Mark Webber","00:01:15.436"
900,2014,"Australian Grand Prix",3,"Nico Rosberg","00:01:32.478"
901,2014,"Malaysian Grand Prix",1,"Lewis Hamilton","00:01:43.066"
902,2014,"Bahrain Grand Prix",3,"Nico Rosberg","00:01:37.02"
903,2014,"Chinese Grand Prix",3,"Nico Rosberg","00:01:40.402"
904,2014,"Spanish Grand Prix",20,"Sebastian Vettel","00:01:28.918"
905,2014,"Monaco Grand Prix",8,"Kimi Räikkönen","00:01:18.479"
906,2014,"Canadian Grand Prix",13,"Felipe Massa","00:01:18.504"
907,2014,"Austrian Grand Prix",815,"Sergio Pérez","00:01:12.142"
908,2014,"British Grand Prix",1,"Lewis Hamilton","00:01:37.176"
909,2014,"German Grand Prix",1,"Lewis Hamilton","00:01:19.908"
910,2014,"Hungarian Grand Prix",3,"Nico Rosberg","00:01:25.724"
911,2014,"Belgian Grand Prix",3,"Nico Rosberg","00:01:50.511"
912,2014,"Italian Grand Prix",1,"Lewis Hamilton","00:01:28.004"
913,2014,"Singapore Grand Prix",1,"Lewis Hamilton","00:01:50.417"
914,2014,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:51.6"
915,2014,"Russian Grand Prix",822,"Valtteri Bottas","00:01:40.896"
916,2014,"United States Grand Prix",20,"Sebastian Vettel","00:01:41.379"
917,2014,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:13.555"
918,2014,"Abu Dhabi Grand Prix",817,"Daniel Ricciardo","00:01:44.496"
926,2015,"Australian Grand Prix",1,"Lewis Hamilton","00:01:30.945"
927,2015,"Malaysian Grand Prix",3,"Nico Rosberg","00:01:42.062"
928,2015,"Chinese Grand Prix",1,"Lewis Hamilton","00:01:42.208"
929,2015,"Bahrain Grand Prix",8,"Kimi Räikkönen","00:01:36.311"
930,2015,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:28.27"
931,2015,"Monaco Grand Prix",817,"Daniel Ricciardo","00:01:18.063"
932,2015,"Canadian Grand Prix",8,"Kimi Räikkönen","00:01:16.987"
933,2015,"Austrian Grand Prix",3,"Nico Rosberg","00:01:11.235"
934,2015,"British Grand Prix",822,"Valtteri Bottas","00:01:36.61"
936,2015,"Hungarian Grand Prix",817,"Daniel Ricciardo","00:01:24.821"
937,2015,"Belgian Grand Prix",3,"Nico Rosberg","00:01:52.416"
938,2015,"Italian Grand Prix",1,"Lewis Hamilton","00:01:26.672"
939,2015,"Singapore Grand Prix",817,"Daniel Ricciardo","00:01:50.041"
940,2015,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:36.145"
941,2015,"Russian Grand Prix",20,"Sebastian Vettel","00:01:40.071"
942,2015,"United States Grand Prix",3,"Nico Rosberg","00:01:40.666"
943,2015,"Mexican Grand Prix",3,"Nico Rosberg","00:01:20.521"
944,2015,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:14.832"
945,2015,"Abu Dhabi Grand Prix",1,"Lewis Hamilton","00:01:44.517"
948,2016,"Australian Grand Prix",817,"Daniel Ricciardo","00:01:28.997"
949,2016,"Bahrain Grand Prix",3,"Nico Rosberg","00:01:34.482"
950,2016,"Chinese Grand Prix",807,"Nico Hülkenberg","00:01:39.824"
951,2016,"Russian Grand Prix",3,"Nico Rosberg","00:01:39.094"
952,2016,"Spanish Grand Prix",826,"Daniil Kvyat","00:01:26.948"
953,2016,"Monaco Grand Prix",1,"Lewis Hamilton","00:01:17.939"
954,2016,"Canadian Grand Prix",3,"Nico Rosberg","00:01:15.599"
955,2016,"European Grand Prix",3,"Nico Rosberg","00:01:46.485"
956,2016,"Austrian Grand Prix",1,"Lewis Hamilton","00:01:08.411"
957,2016,"British Grand Prix",3,"Nico Rosberg","00:01:35.548"
958,2016,"Hungarian Grand Prix",8,"Kimi Räikkönen","00:01:23.086"
959,2016,"German Grand Prix",817,"Daniel Ricciardo","00:01:18.442"
960,2016,"Belgian Grand Prix",1,"Lewis Hamilton","00:01:51.583"
961,2016,"Italian Grand Prix",4,"Fernando Alonso","00:01:25.34"
962,2016,"Singapore Grand Prix",817,"Daniel Ricciardo","00:01:47.187"
963,2016,"Malaysian Grand Prix",3,"Nico Rosberg","00:01:36.424"
964,2016,"Japanese Grand Prix",20,"Sebastian Vettel","00:01:35.118"
965,2016,"United States Grand Prix",20,"Sebastian Vettel","00:01:39.877"
966,2016,"Mexican Grand Prix",817,"Daniel Ricciardo","00:01:21.134"
967,2016,"Brazilian Grand Prix",830,"Max Verstappen","00:01:25.305"
968,2016,"Abu Dhabi Grand Prix",20,"Sebastian Vettel","00:01:43.729"
969,2017,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:26.538"
970,2017,"Chinese Grand Prix",1,"Lewis Hamilton","00:01:35.378"
971,2017,"Bahrain Grand Prix",1,"Lewis Hamilton","00:01:32.798"
972,2017,"Russian Grand Prix",8,"Kimi Räikkönen","00:01:36.844"
973,2017,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:23.593"
974,2017,"Monaco Grand Prix",815,"Sergio Pérez","00:01:14.82"
975,2017,"Canadian Grand Prix",1,"Lewis Hamilton","00:01:14.551"
976,2017,"Azerbaijan Grand Prix",20,"Sebastian Vettel","00:01:43.441"
977,2017,"Austrian Grand Prix",1,"Lewis Hamilton","00:01:07.411"
978,2017,"British Grand Prix",1,"Lewis Hamilton","00:01:30.621"
979,2017,"Hungarian Grand Prix",4,"Fernando Alonso","00:01:20.182"
980,2017,"Belgian Grand Prix",20,"Sebastian Vettel","00:01:46.577"
981,2017,"Italian Grand Prix",817,"Daniel Ricciardo","00:01:23.361"
982,2017,"Singapore Grand Prix",1,"Lewis Hamilton","00:01:45.008"
983,2017,"Malaysian Grand Prix",20,"Sebastian Vettel","00:01:34.08"
984,2017,"Japanese Grand Prix",822,"Valtteri Bottas","00:01:33.144"
985,2017,"United States Grand Prix",20,"Sebastian Vettel","00:01:37.766"
986,2017,"Mexican Grand Prix",20,"Sebastian Vettel","00:01:18.785"
987,2017,"Brazilian Grand Prix",830,"Max Verstappen","00:01:11.044"
988,2017,"Abu Dhabi Grand Prix",822,"Valtteri Bottas","00:01:40.65"
989,2018,"Australian Grand Prix",817,"Daniel Ricciardo","00:01:25.945"
990,2018,"Bahrain Grand Prix",822,"Valtteri Bottas","00:01:33.74"
991,2018,"Chinese Grand Prix",817,"Daniel Ricciardo","00:01:35.785"
992,2018,"Azerbaijan Grand Prix",822,"Valtteri Bottas","00:01:45.149"
993,2018,"Spanish Grand Prix",817,"Daniel Ricciardo","00:01:18.441"
994,2018,"Monaco Grand Prix",830,"Max Verstappen","00:01:14.26"
995,2018,"Canadian Grand Prix",830,"Max Verstappen","00:01:13.864"
996,2018,"French Grand Prix",822,"Valtteri Bottas","00:01:34.225"
997,2018,"Austrian Grand Prix",8,"Kimi Räikkönen","00:01:06.957"
998,2018,"British Grand Prix",20,"Sebastian Vettel","00:01:30.696"
999,2018,"German Grand Prix",1,"Lewis Hamilton","00:01:15.545"
1000,2018,"Hungarian Grand Prix",817,"Daniel Ricciardo","00:01:20.012"
1001,2018,"Belgian Grand Prix",822,"Valtteri Bottas","00:01:46.286"
1002,2018,"Italian Grand Prix",1,"Lewis Hamilton","00:01:22.497"
1003,2018,"Singapore Grand Prix",825,"Kevin Magnussen","00:01:41.905"
1004,2018,"Russian Grand Prix",822,"Valtteri Bottas","00:01:35.861"
1005,2018,"Japanese Grand Prix",20,"Sebastian Vettel","00:01:32.318"
1006,2018,"United States Grand Prix",1,"Lewis Hamilton","00:01:37.392"
1007,2018,"Mexican Grand Prix",822,"Valtteri Bottas","00:01:18.741"
1008,2018,"Brazilian Grand Prix",822,"Valtteri Bottas","00:01:10.54"
1009,2018,"Abu Dhabi Grand Prix",20,"Sebastian Vettel","00:01:40.867"
1010,2019,"Australian Grand Prix",822,"Valtteri Bottas","00:01:25.58"
1011,2019,"Bahrain Grand Prix",844,"Charles Leclerc","00:01:33.411"
1012,2019,"Chinese Grand Prix",842,"Pierre Gasly","00:01:34.742"
1013,2019,"Azerbaijan Grand Prix",844,"Charles Leclerc","00:01:43.009"
1014,2019,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:18.492"
1015,2019,"Monaco Grand Prix",842,"Pierre Gasly","00:01:14.279"
1016,2019,"Canadian Grand Prix",822,"Valtteri Bottas","00:01:13.078"
1017,2019,"French Grand Prix",20,"Sebastian Vettel","00:01:32.74"
1018,2019,"Austrian Grand Prix",830,"Max Verstappen","00:01:07.475"
1019,2019,"British Grand Prix",1,"Lewis Hamilton","00:01:27.369"
1020,2019,"German Grand Prix",830,"Max Verstappen","00:01:16.645"
1021,2019,"Hungarian Grand Prix",830,"Max Verstappen","00:01:17.103"
1022,2019,"Belgian Grand Prix",20,"Sebastian Vettel","00:01:46.409"
1023,2019,"Italian Grand Prix",1,"Lewis Hamilton","00:01:21.779"
1024,2019,"Singapore Grand Prix",825,"Kevin Magnussen","00:01:42.301"
1025,2019,"Russian Grand Prix",1,"Lewis Hamilton","00:01:35.761"
1026,2019,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:30.983"
1027,2019,"Mexican Grand Prix",844,"Charles Leclerc","00:01:19.232"
1028,2019,"United States Grand Prix",844,"Charles Leclerc","00:01:36.169"
1029,2019,"Brazilian Grand Prix",822,"Valtteri Bottas","00:01:10.698"
1030,2019,"Abu Dhabi Grand Prix",1,"Lewis Hamilton","00:01:39.283"
1031,2020,"Austrian Grand Prix",846,"Lando Norris","00:01:07.475"
1032,2020,"Styrian Grand Prix",832,"Carlos Sainz","00:01:05.619"
1033,2020,"Hungarian Grand Prix",1,"Lewis Hamilton","00:01:16.627"
1034,2020,"British Grand Prix",830,"Max Verstappen","00:01:27.097"
1035,2020,"70th Anniversary Grand Prix",1,"Lewis Hamilton","00:01:28.451"
1036,2020,"Spanish Grand Prix",822,"Valtteri Bottas","00:01:18.183"
1037,2020,"Belgian Grand Prix",817,"Daniel Ricciardo","00:01:47.483"
1038,2020,"Italian Grand Prix",1,"Lewis Hamilton","00:01:22.746"
1039,2020,"Tuscan Grand Prix",1,"Lewis Hamilton","00:01:18.833"
1040,2020,"Russian Grand Prix",822,"Valtteri Bottas","00:01:37.03"
1041,2020,"Eifel Grand Prix",830,"Max Verstappen","00:01:28.139"
1042,2020,"Portuguese Grand Prix",1,"Lewis Hamilton","00:01:18.75"
1043,2020,"Emilia Romagna Grand Prix",1,"Lewis Hamilton","00:01:15.484"
1044,2020,"Turkish Grand Prix",846,"Lando Norris","00:01:36.806"
1045,2020,"Bahrain Grand Prix",830,"Max Verstappen","00:01:32.014"
1046,2020,"Sakhir Grand Prix",847,"George Russell","00:00:55.404"
1047,2020,"Abu Dhabi Grand Prix",817,"Daniel Ricciardo","00:01:40.926"
1051,2021,"Qatar Grand Prix",830,"Max Verstappen","00:01:23.196"
1052,2021,"Bahrain Grand Prix",822,"Valtteri Bottas","00:01:32.09"
1053,2021,"Emilia Romagna Grand Prix",1,"Lewis Hamilton","00:01:16.702"
1054,2021,"Portuguese Grand Prix",830,"Max Verstappen","00:01:19.849"
1055,2021,"Spanish Grand Prix",830,"Max Verstappen","00:01:18.149"
1056,2021,"Monaco Grand Prix",1,"Lewis Hamilton","00:01:12.909"
1057,2021,"Azerbaijan Grand Prix",830,"Max Verstappen","00:01:44.481"
1058,2021,"Styrian Grand Prix",1,"Lewis Hamilton","00:01:07.058"
1059,2021,"French Grand Prix",830,"Max Verstappen","00:01:36.404"
1060,2021,"Austrian Grand Prix",830,"Max Verstappen","00:01:06.2"
1061,2021,"British Grand Prix",815,"Sergio Pérez","00:01:28.617"
1062,2021,"Hungarian Grand Prix",842,"Pierre Gasly","00:01:18.394"
1063,2021,"Belgian Grand Prix",830,"Max Verstappen","00:03:27.071"
1064,2021,"Dutch Grand Prix",1,"Lewis Hamilton","00:01:11.097"
1065,2021,"Italian Grand Prix",817,"Daniel Ricciardo","00:01:24.812"
1066,2021,"Russian Grand Prix",846,"Lando Norris","00:01:37.423"
1067,2021,"Turkish Grand Prix",822,"Valtteri Bottas","00:01:30.432"
1069,2021,"United States Grand Prix",1,"Lewis Hamilton","00:01:38.485"
1070,2021,"Mexico City Grand Prix",822,"Valtteri Bottas","00:01:17.774"
1071,2021,"SÃ£o Paulo Grand Prix",815,"Sergio Pérez","00:01:11.01"
1072,2021,"Saudi Arabian Grand Prix",1,"Lewis Hamilton","00:01:30.734"
1073,2021,"Abu Dhabi Grand Prix",830,"Max Verstappen","00:01:26.103"
1074,2022,"Bahrain Grand Prix",844,"Charles Leclerc","00:01:34.57"
1075,2022,"Saudi Arabian Grand Prix",844,"Charles Leclerc","00:01:31.634"
1076,2022,"Australian Grand Prix",844,"Charles Leclerc","00:01:20.26"
1077,2022,"Emilia Romagna Grand Prix",830,"Max Verstappen","00:01:18.446"
1078,2022,"Miami Grand Prix",830,"Max Verstappen","00:01:31.361"
1079,2022,"Spanish Grand Prix",815,"Sergio Pérez","00:01:24.108"
1080,2022,"Monaco Grand Prix",846,"Lando Norris","00:01:14.693"
1081,2022,"Azerbaijan Grand Prix",815,"Sergio Pérez","00:01:46.046"
1082,2022,"Canadian Grand Prix",832,"Carlos Sainz","00:01:15.749"
1083,2022,"British Grand Prix",1,"Lewis Hamilton","00:01:30.51"
1084,2022,"Austrian Grand Prix",830,"Max Verstappen","00:01:07.275"
1085,2022,"French Grand Prix",832,"Carlos Sainz","00:01:35.781"
1086,2022,"Hungarian Grand Prix",1,"Lewis Hamilton","00:01:21.386"
1087,2022,"Belgian Grand Prix",830,"Max Verstappen","00:01:49.354"
1088,2022,"Dutch Grand Prix",830,"Max Verstappen","00:01:13.652"
1089,2022,"Italian Grand Prix",815,"Sergio Pérez","00:01:24.03"
1091,2022,"Singapore Grand Prix",847,"George Russell","00:01:46.458"
1092,2022,"Japanese Grand Prix",855,"Guanyu Zhou","00:01:44.411"
1093,2022,"United States Grand Prix",847,"George Russell","00:01:38.788"
1094,2022,"Mexico City Grand Prix",847,"George Russell","00:01:20.153"
1095,2022,"SÃ£o Paulo Grand Prix",847,"George Russell","00:01:13.785"
1096,2022,"Abu Dhabi Grand Prix",846,"Lando Norris","00:01:28.391"
1098,2023,"Bahrain Grand Prix",855,"Guanyu Zhou","00:01:33.996"
1099,2023,"Saudi Arabian Grand Prix",830,"Max Verstappen","00:01:31.906"
1100,2023,"Australian Grand Prix",815,"Sergio Pérez","00:01:20.235"
1101,2023,"Azerbaijan Grand Prix",847,"George Russell","00:01:43.37"
1102,2023,"Miami Grand Prix",830,"Max Verstappen","00:01:29.708"
1104,2023,"Monaco Grand Prix",1,"Lewis Hamilton","00:01:15.65"
1105,2023,"Spanish Grand Prix",830,"Max Verstappen","00:01:16.33"
1106,2023,"Canadian Grand Prix",815,"Sergio Pérez","00:01:14.481"
1107,2023,"Austrian Grand Prix",830,"Max Verstappen","00:01:07.012"
1108,2023,"British Grand Prix",830,"Max Verstappen","00:01:30.275"
1109,2023,"Hungarian Grand Prix",830,"Max Verstappen","00:01:20.504"
1110,2023,"Belgian Grand Prix",1,"Lewis Hamilton","00:01:47.305"
1111,2023,"Dutch Grand Prix",4,"Fernando Alonso","00:01:13.837"
1112,2023,"Italian Grand Prix",857,"Oscar Piastri","00:01:25.072"
1113,2023,"Singapore Grand Prix",1,"Lewis Hamilton","00:01:35.867"
1114,2023,"Japanese Grand Prix",830,"Max Verstappen","00:01:34.183"
1115,2023,"Qatar Grand Prix",830,"Max Verstappen","00:01:24.319"
1116,2023,"United States Grand Prix",852,"Yuki Tsunoda","00:01:38.139"
1117,2023,"Mexico City Grand Prix",1,"Lewis Hamilton","00:01:21.334"
1118,2023,"SÃ£o Paulo Grand Prix",846,"Lando Norris","00:01:12.486"
1119,2023,"Las Vegas Grand Prix",857,"Oscar Piastri","00:01:35.49"
1120,2023,"Abu Dhabi Grand Prix",830,"Max Verstappen","00:01:26.993"
1121,2024,"Bahrain Grand Prix",830,"Max Verstappen","00:01:32.608"
1122,2024,"Saudi Arabian Grand Prix",844,"Charles Leclerc","00:01:31.632"
1123,2024,"Australian Grand Prix",844,"Charles Leclerc","00:01:19.813"
1124,2024,"Japanese Grand Prix",830,"Max Verstappen","00:01:33.706"
1125,2024,"Chinese Grand Prix",4,"Fernando Alonso","00:01:37.81"
1126,2024,"Miami Grand Prix",857,"Oscar Piastri","00:01:30.634"
1127,2024,"Emilia Romagna Grand Prix",847,"George Russell","00:01:18.589"
1128,2024,"Monaco Grand Prix",1,"Lewis Hamilton","00:01:14.165"
1129,2024,"Canadian Grand Prix",1,"Lewis Hamilton","00:01:14.856"
1130,2024,"Spanish Grand Prix",846,"Lando Norris","00:01:17.115"
1131,2024,"Austrian Grand Prix",4,"Fernando Alonso","00:01:07.694"
